function_sig,function_name
0x244b0f6a,manageVaultWithMerkleVerification
0xca5eb5e1,setDelegate
0xf2fde38b,transferOwnership
0x7a9e5e4b,setAuthority
0x0bf6cab7,rescueTokens
0x1568fc58,setChainGasLimit
0x202eac57,allowMessagesFromChain
0x34dafd6b,addChain
0xb5ba6182,allowMessagesToChain
0x12056e2d,setShareLockPeriod
0x8dfd8ba1,updateAssetData
0xafb06952,updatePlatformFee
0x4d8be07e,setRateProviderData
0x6a054dc9,updateDelay
0x709ac1c3,updatePerformanceFee
0x56200819,updatePayoutAddress
0x207ec0e7,updateLower
0x634da58f,updateUpper
0x3038a60d,setYieldDistributor
0x8929565f,setBeforeTransferHook
0x21801a99,setManageRoot
0xeed4b3f8,updateWithdrawAsset
0x74732728,stopWithdrawsInAsset
0x55a2d64d,removeChain
0xd555f368,stopMessagesFromChain
0x45ad6063,stopMessagesToChain
0x224d8703,manage
0xf6e715d0,manage
0x595c6a67,pauseAll
0x1414a737,pauseMultiple
0x6fa02012,pauseSingle
0x8a2ddd03,unpauseAll
0x2a578b95,unpauseMultiple
0x4ed1a7ed,unpauseSingle
0x9fff7e2a,cancelUserWithdraws
0x3f4ba83a,unpause
0x8456cb59,pause
0x67aa0416,boringSolve
0xff011b62,boringRedeemMintSolve
0xbc9961f7,boringRedeemMintSolve
0x5ff8a71f,boringRedeemSolve
0xb7532db2,boringRedeemSolve
0x412638dc,solveOnChainWithdraws
0x18457e61,exit
0x3e64ce99,bulkWithdraw
0x9d574420,bulkDeposit
0x39d6ba32,enter
0x3458113d,updateExchangeRate
0x46b563f4,refundDeposit